key,en,es,pt-BR
tui.popup.cmd.export,Exports the conversation (md or json),Exporta la conversación (md o json),Exporta a conversa (md ou json)
tui.popup.cmd.share,Generates a read-only URL for the thread,Genera una URL de solo lectura del hilo,Gera URL de leitura da thread
tui.popup.cmd.auth_logout,Ends the session,Cierra la sesión,Encerra a sessão
tui.popup.cmd.help,Lists all commands,Lista todos los comandos,Lista todos os comandos

# ---------------------------------------------------------------------------
# Níveis de verbosidade (/debug)
# ---------------------------------------------------------------------------
tui.verbosity.silent,Silent,Silencio,Silêncio
tui.verbosity.routing,Routing,Enrutamiento,Roteamento
tui.verbosity.tool_status,Tool status,Estado de herramientas,Status das ferramentas
tui.verbosity.standard,Standard,Estándar,Padrão
tui.verbosity.verbose,Verbose,Detallado,Detalhado
tui.verbosity.full,Full,Completo,Completo

# ---------------------------------------------------------------------------
# Bindings / status bar / boas-vindas
# ---------------------------------------------------------------------------
tui.binding.new_session,New session,Nueva sesión,Nova sessão
tui.binding.clear,Clear,Limpiar,Limpar
tui.binding.quit,Quit,Salir,Sair
tui.status.keys_hint,^N New  ^L Clear  ^Q Quit,^N Nueva  ^L Limpiar  ^Q Salir,^N Nova  ^L Limpar  ^Q Sair
tui.input.placeholder,Message...,Mensaje...,Mensagem...
tui.welcome.session,session {id},sesión {id},sessão {id}
tui.welcome.new_session,new session {id},nueva sesión {id},nova sessão {id}
tui.welcome.hint,"Type or [bold #3b82f6]/[/bold #3b82f6] for commands · [bold #3b82f6]^N[/bold #3b82f6] new session · [bold #3b82f6]^Q[/bold #3b82f6] quit","Escribe o [bold #3b82f6]/[/bold #3b82f6] para comandos · [bold #3b82f6]^N[/bold #3b82f6] nueva sesión · [bold #3b82f6]^Q[/bold #3b82f6] salir","Digite ou [bold #3b82f6]/[/bold #3b82f6] para comandos · [bold #3b82f6]^N[/bold #3b82f6] nova sessão · [bold #3b82f6]^Q[/bold #3b82f6] sair"

# ---------------------------------------------------------------------------
# Dispatcher de comandos desconhecidos
# ---------------------------------------------------------------------------
tui.error.unknown_command,"Unknown command: /{cmd}. Use /help to see the commands.","Comando desconocido: /{cmd}. Usa /help para ver los comandos.","Comando desconhecido: /{cmd}. Use /help para ver os comandos."

# ---------------------------------------------------------------------------
# /sessions, /session
# ---------------------------------------------------------------------------
tui.sessions.empty,No sessions found.,No se encontraron sesiones.,Nenhuma sessão encontrada.
tui.sessions.title,Recent sessions:,Sesiones recientes:,Sessões recentes:
tui.sessions.current_suffix,<- current,<- actual,<- atual
tui.sessions.error,Error listing sessions: {error},Error al listar sesiones: {error},Erro ao listar sessões: {error}
tui.session.current,Current session: {id},Sesión actual: {id},Sessão atual: {id}
tui.session.switched,Switched to session: {id},Cambiado a la sesión: {id},Sessão trocada para: {id}

# ---------------------------------------------------------------------------
# /model
# ---------------------------------------------------------------------------
tui.model.available_title,Available models:  (use /model <name>),Modelos disponibles:  (usa /model <nombre>),Modelos disponíveis:  (use /model <nome>)
tui.model.changed,✓ Model changed to: {model} ({provider}),✓ Modelo cambiado a: {model} ({provider}),✓ Modelo alterado para: {model} ({provider})
tui.model.not_found,✗ Model not found: {model},✗ Modelo no encontrado: {model},✗ Modelo não encontrado: {model}
tui.model.list_hint,(use /model to list),(usa /model para listar),(use /model para listar)

# ---------------------------------------------------------------------------
# /debug
# ---------------------------------------------------------------------------
tui.debug.current,Current verbosity: {level} ({label}),Verbosidad actual: {level} ({label}),Verbosidade atual: {level} ({label})
tui.debug.changed,Verbosity set to: {level} ({label}),Verbosidad definida: {level} ({label}),Verbosidade definida: {level} ({label})
tui.debug.invalid,Invalid level. Use a number from 0 to 5.,Nivel inválido. Usa un número del 0 al 5.,Nível inválido. Use um número de 0 a 5.

# ---------------------------------------------------------------------------
# /rag
# ---------------------------------------------------------------------------
tui.rag.title,RAG Pipeline:,Pipeline RAG:,Pipeline RAG:
tui.rag.pending,Pending:,Pendientes:,Pendentes:
tui.rag.processing,Processing:,Procesando:,Processando:
tui.rag.success,Success:,Éxito:,Sucesso:
tui.rag.failed,Failed:,Fallos:,Falhas:
tui.rag.unavailable,RAG stats unavailable: {error},Estadísticas de RAG no disponibles: {error},Estatísticas do RAG indisponíveis: {error}

# ---------------------------------------------------------------------------
# /traces
# ---------------------------------------------------------------------------
tui.traces.title,Latest traces:,Últimos traces:,Últimos traces:
tui.traces.empty,No traces found.,No se encontraron traces.,Nenhum trace encontrado.
tui.traces.unavailable,Traces unavailable: {error},Traces no disponibles: {error},Traces indisponíveis: {error}

# ---------------------------------------------------------------------------
# /workspaces
# ---------------------------------------------------------------------------
tui.workspaces.title,Workspaces:,Workspaces:,Workspaces:
tui.workspaces.empty,No workspaces registered.,No hay workspaces registrados.,Nenhum workspace registrado.
tui.workspaces.trusted,trusted,confiable,confiável
tui.workspaces.untrusted,untrusted,no confiable,não confiável
tui.workspaces.unavailable,Workspaces unavailable: {error},Workspaces no disponibles: {error},Workspaces indisponíveis: {error}

# ---------------------------------------------------------------------------
# Streaming (src/ui/streaming.py)
# ---------------------------------------------------------------------------
tui.stream.error,Error: {error},Error: {error},Erro: {error}
tui.stream.resume_error,Error resuming: {error},Error al reanudar: {error},Erro ao retomar: {error}

# ---------------------------------------------------------------------------
# HITL modal (src/ui/widgets/hitl.py)
# ---------------------------------------------------------------------------
tui.hitl.approval_needed,Approval needed:,Aprobación necesaria:,Aprovação necessária:
tui.hitl.approve,Approve,Aprobar,Aprovar
tui.hitl.reject,Reject,Rechazar,Rejeitar

# ---------------------------------------------------------------------------
# SettingsScreen (src/ui/screens/settings_screen.py)
# ---------------------------------------------------------------------------
tui.settings.title,Settings,Configuración,Configurações
tui.settings.theme,Theme,Tema,Tema
tui.settings.theme_dark,Dark,Oscuro,Escuro
tui.settings.theme_light,Light,Claro,Claro
tui.settings.theme_system,System,Sistema,Sistema
tui.settings.language,Language,Idioma,Idioma
tui.settings.save,Save,Guardar,Salvar
tui.settings.cancel,Cancel,Cancelar,Cancelar

# ---------------------------------------------------------------------------
# WorkbenchScreen (src/ui/screens/workbench_screen.py)
# ---------------------------------------------------------------------------
tui.workbench.title,Workbench,Workbench,Workbench
tui.workbench.tab_terminal,Terminal,Terminal,Terminal
tui.workbench.tab_files,Files,Archivos,Arquivos
tui.workbench.tab_diff,Diff,Diff,Diff
tui.workbench.tab_plan,Plan,Plan,Plano
tui.workbench.hint,Esc to close,Esc para cerrar,Esc para fechar
tui.workbench.files_root,Workspace,Workspace,Workspace
tui.workbench.files_no_workspace,No workspace active,Sin workspace activo,Nenhum workspace ativo
tui.workbench.terminal_empty,No log file found.,No se encontró archivo de log.,Nenhum arquivo de log encontrado.
tui.workbench.terminal_unavailable,Could not read log.,No se pudo leer el log.,Não foi possível ler o log.
tui.workbench.diff_col_status,Status,Estado,Estado
tui.workbench.diff_col_file,File,Archivo,Arquivo
tui.workbench.diff_unavailable,Git not available,Git no disponible,Git não disponível
tui.workbench.plan_title,Artifacts:,Artefactos:,Artefatos:
tui.workbench.plan_empty,No artifacts found.,Sin artefactos.,Nenhum artefato encontrado.
tui.workbench.plan_no_workspace,No workspace active,Sin workspace activo,Nenhum workspace ativo
tui.workbench.plan_unavailable,Could not read artifacts.,No se pudo leer artefactos.,Não foi possível ler artefatos.

# ---------------------------------------------------------------------------
# ModelPickerScreen (src/ui/screens/model_picker_screen.py)
# ---------------------------------------------------------------------------
tui.model_picker.title,Select model,Seleccionar modelo,Selecionar modelo
tui.model_picker.search_placeholder,Search models...,Buscar modelos...,Buscar modelos...
tui.model_picker.hint,Enter to select · Esc to close,Enter para seleccionar · Esc para cerrar,Enter para selecionar · Esc para fechar
tui.model_picker.cancel,Cancel,Cancelar,Cancelar

# ---------------------------------------------------------------------------
# UsageScreen (src/ui/screens/usage_screen.py)
# ---------------------------------------------------------------------------
tui.usage.title,Request Usage,Consumo de solicitudes,Consumo de requisições
tui.usage.close,Close,Cerrar,Fechar
tui.usage.unavailable,Usage data unavailable.,Datos de uso no disponibles.,Dados de consumo indisponíveis.
tui.usage.window_short,Short window,Ventana corta,Janela curta
tui.usage.window_5h,5-hour window,Ventana de 5h,Janela de 5h
tui.usage.window_weekly,Weekly,Semanal,Semanal
tui.usage.remaining,{n} remaining,{n} restantes,{n} restantes
